FID,IZ05CD,IZ05NM
192,S02000347,Braids
193,S02000125,Montrose North
194,S02000166,Kirkcudbright
195,S02000065,Cromar and Kildrummy
196,S02000216,Charleston
197,S02000348,Clovenstone and Drumbryden
198,S02000126,Brechin East
199,S02000265,Westerton West
200,S02000364,Prestonfield
201,S02000167,Dalbeattie
202,S02000066,Kintore and Blackburn
203,S02000217,The Glens
204,S02000349,The Inch
205,S02000127,Brechin West
206,S02000266,Kessington East
207,S02000365,Shandon
208,S02000168,Castle Douglas
209,S02000067,Kemnay
210,S02000218,Douglas East
211,S02000350,Calders
212,S02000128,Hillside
213,S02000267,Lenzie South
214,S02000366,Forrester Park and Broomhall
215,S02000169,Stranraer Central
216,S02000068,Howe of Alford
217,S02000219,Fairmuir
218,S02000129,Angus Glens
219,S02000268,Bishopbriggs North and Kenmure
220,S02000367,Stenhouse
221,S02000170,Stranraer West
222,S02000069,Balmedie and Potterton
223,S02000220,Western Edge
224,S02000130,Campbeltown
225,S02000269,Kessington West
226,S02000368,"Jewel, Brunstane and Newcraighall"
227,S02000171,Moors
228,S02000070,Newmachar and Fintray
229,S02000221,Linlathen and Midcraigie
230,S02000131,Kintyre Trail
231,S02000270,Lenzie North
232,S02000369,"Ratho, Gogarburn and Airport"
233,S02000172,Portpatrick
234,S02000071,Inverurie South
235,S02000222,Douglas West
236,S02000132,Bute
237,S02000271,South Castlehill and Thorn
238,S02000370,Dalkeith Rd
239,S02000173,Fleet
240,S02000072,Inverurie North
241,S02000223,Caird Park
242,S02000133,Rothesay Town
243,S02000272,Kilmardinny West
244,S02000371,Marchmont West
245,S02000174,Annan South
246,S02000073,Durno-Chapel of Garioch
247,S02000074,Barrahill
248,S02000075,Ythsie
249,S02000076,Ellon East
250,S02000077,Ellon West
251,S02000078,Ythanside
252,S02000079,"Insch, Oyne and Ythanwells"
253,S02000080,Clashindarroch
254,S02000081,Fyvie-Rothie
255,S02000082,Cruden
256,S02000083,Huntly
257,S02000084,Auchnagatt
258,S02000085,Peterhead Links
259,S02000086,Peterhead Bay
260,S02000087,Auchterless and Monquhitter
261,S02000088,Peterhead Harbour
262,S02000089,Peterhead Ugieside
263,S02000090,Mintlaw
264,S02000091,Turriff
265,S02000092,Longside and Rattray
266,S02000093,Deer and Mormond
267,S02000094,New Pitsligo
268,S02000095,Aberchirder and Whitehills
269,S02000096,Gardenstown and King Edward
270,S02000097,"Portsoy, Fordyce and Cornhill"
271,S02000098,Rosehearty and Strathbeg
272,S02000099,Banff
273,S02000100,Macduff
274,S02000134,Whiskey Isles
275,S02000135,Dunoon
276,S02000136,Hunter's Quay
277,S02000137,Cowal South
278,S02000138,Helensburgh East
279,S02000139,Helensburgh Centre
280,S02000140,Helensburgh North
281,S02000141,Helensburgh West and Rhu
282,S02000142,Greater Lochgilphead
283,S02000143,Garelochhead
284,S02000144,Lomond Shore
285,S02000145,Mid Argyll
286,S02000146,Cowal North
287,S02000147,Loch Awe
288,S02000148,Oban South
289,S02000149,Oban North
290,S02000150,Benderloch Trail
291,S02000224,West Pitkerro
292,S02000225,Ardler and St Marys
293,S02000226,Whitfield
294,S02000227,Downfield
295,S02000228,Kirkton
296,S02000229,Fintry
297,S02000230,Doon Valley South
298,S02000231,Doon Valley North
299,S02000232,New Cumnock
300,S02000233,Drongan
301,S02000234,Cumnock South and Craigens
302,S02000235,Mauchline Rural
303,S02000236,Cumnock North
304,S02000237,Cumnock Rural
305,S02000238,Auchinleck
306,S02000239,Mauchline
307,S02000240,Shortlees
308,S02000241,Bellfield and Kirkstyle
309,S02000242,Galston
310,S02000243,Kilmarnock South Central and Caprington
311,S02000244,Earlston and Hurlford Rural
312,S02000245,"Grange, Howard and Gargieston"
313,S02000246,Newmilns
314,S02000247,Darvel
315,S02000248,Piersland
316,S02000249,Crosshouse and Gatehead Rural
317,S02000250,Bonnyton and Town Centre
318,S02000175,New Abbey
319,S02000176,Gretna and Eastriggs
320,S02000177,Annan North
321,S02000178,Lower Annandale and South East Dumfries
322,S02000179,Cree Valley
323,S02000180,Dumfries South
324,S02000181,Georgetown
325,S02000182,Rotchell and Rosefield
326,S02000183,Dumfries West
327,S02000184,Dumfries East
328,S02000185,Summerville
329,S02000186,Nithside and Nunholm
330,S02000187,Lincluden and Lochside
331,S02000188,Locharbriggs
332,S02000189,Catherinefield
333,S02000190,Boreland and Ecclefechan
